locus_tag	ftype	length_bp	gene	EC_number	COG	product
DLIDFOLG_02649	CDS	540	yajI			putative lipoprotein YajI
DLIDFOLG_02650	CDS	885	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
DLIDFOLG_02651	CDS	696				hypothetical protein
DLIDFOLG_02652	CDS	366				hypothetical protein
DLIDFOLG_02653	CDS	972	secF		COG0341	Protein translocase subunit SecF
DLIDFOLG_02654	CDS	1815	secD		COG0342	Protein translocase subunit SecD
DLIDFOLG_02655	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
DLIDFOLG_02656	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
DLIDFOLG_02657	CDS	1065	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
DLIDFOLG_02658	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
DLIDFOLG_02659	CDS	603	ahpC_2	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
DLIDFOLG_02660	CDS	444				hypothetical protein
DLIDFOLG_02661	CDS	288				hypothetical protein
DLIDFOLG_02662	CDS	1392	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
DLIDFOLG_02663	CDS	963	yihV	2.7.1.184		Sulfofructose kinase
DLIDFOLG_02664	CDS	861	fba	4.1.2.13		Fructose-bisphosphate aldolase
DLIDFOLG_02665	CDS	1869	nfdA_2	3.5.1.91		N-substituted formamide deformylase
DLIDFOLG_02666	CDS	546				hypothetical protein
DLIDFOLG_02667	CDS	642				hypothetical protein
DLIDFOLG_02668	CDS	153				hypothetical protein
DLIDFOLG_02669	CDS	903	yhaJ_1			HTH-type transcriptional regulator YhaJ
DLIDFOLG_02670	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
DLIDFOLG_02671	CDS	1374	proY_2		COG1113	Proline-specific permease ProY
DLIDFOLG_02672	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
DLIDFOLG_02673	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
DLIDFOLG_02674	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
DLIDFOLG_02675	CDS	1206	sbcD		COG0420	Nuclease SbcCD subunit D
DLIDFOLG_02676	CDS	3138	sbcC		COG0419	Nuclease SbcCD subunit C
DLIDFOLG_02677	CDS	915	mak_2	2.7.1.4	COG1940	Fructokinase
DLIDFOLG_02678	CDS	912	rdgC		COG2974	Recombination-associated protein RdgC
DLIDFOLG_02679	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
DLIDFOLG_02680	CDS	666				hypothetical protein
DLIDFOLG_02681	CDS	192	yaiA			putative protein YaiA
DLIDFOLG_02682	CDS	534	aroL	2.7.1.71	COG0703	Shikimate kinase 2
DLIDFOLG_02683	CDS	711				hypothetical protein
DLIDFOLG_02684	CDS	459				hypothetical protein
DLIDFOLG_02685	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
DLIDFOLG_02686	CDS	318	psiF			Phosphate starvation-inducible protein PsiF
DLIDFOLG_02687	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
DLIDFOLG_02688	CDS	261	iraP			Anti-adapter protein IraP
DLIDFOLG_02689	CDS	1200	sbnD_2			Staphyloferrin B transporter
DLIDFOLG_02690	CDS	684				hypothetical protein
DLIDFOLG_02691	CDS	1098	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
DLIDFOLG_02692	CDS	204				hypothetical protein
DLIDFOLG_02693	CDS	303	yaiY			Inner membrane protein YaiY
DLIDFOLG_02694	CDS	1107				hypothetical protein
DLIDFOLG_02695	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
DLIDFOLG_02696	CDS	534	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
DLIDFOLG_02697	CDS	1161	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
DLIDFOLG_02698	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
DLIDFOLG_02699	CDS	492	rayT		COG1943	REP-associated tyrosine transposase
DLIDFOLG_02700	CDS	1719				hypothetical protein
DLIDFOLG_02701	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
DLIDFOLG_02702	CDS	828	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
DLIDFOLG_02703	CDS	768	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
DLIDFOLG_02704	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
DLIDFOLG_02705	CDS	933	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
DLIDFOLG_02706	CDS	1410	rocC		COG0833	Amino-acid permease RocC
DLIDFOLG_02707	CDS	1380	yhdG		COG0531	putative amino acid permease YhdG
DLIDFOLG_02708	CDS	1389	eutB_2	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
DLIDFOLG_02709	CDS	777	eutC_2	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
DLIDFOLG_02710	CDS	1137			COG0683	Leu/Ile/Val-binding protein 
DLIDFOLG_02711	CDS	900	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
DLIDFOLG_02712	CDS	1050				hypothetical protein
DLIDFOLG_02713	CDS	783	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
DLIDFOLG_02714	CDS	696	livF_3		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
DLIDFOLG_02715	CDS	171				hypothetical protein
DLIDFOLG_02716	CDS	810	glnH_3		COG0834	ABC transporter glutamine-binding protein GlnH
DLIDFOLG_02717	CDS	819	glnQ_5			Glutamine transport ATP-binding protein GlnQ
DLIDFOLG_02718	CDS	753	gltJ_2		COG0765	Glutamate/aspartate import permease protein GltJ
DLIDFOLG_02719	CDS	690	glnP_2		COG0765	putative glutamine ABC transporter permease protein GlnP
DLIDFOLG_02720	CDS	711	ecpE			putative fimbrial chaperone EcpE
DLIDFOLG_02721	CDS	1644	ecpD			Fimbria adhesin EcpD
DLIDFOLG_02722	CDS	2526	ecpC			putative outer membrane usher protein EcpC
DLIDFOLG_02723	CDS	669	ecpB			putative fimbrial chaperone EcpB
DLIDFOLG_02724	CDS	588	ecpA			Common pilus major fimbrillin subunit EcpA
DLIDFOLG_02725	CDS	543	ecpR			HTH-type transcriptional regulator EcpR
DLIDFOLG_02726	CDS	504			COG1662	IS1 family transposase IS1R
DLIDFOLG_02727	CDS	459	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
DLIDFOLG_02728	CDS	654	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
DLIDFOLG_02729	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
DLIDFOLG_02730	CDS	1437			COG2239	Magnesium transporter MgtE
DLIDFOLG_02731	CDS	1017				hypothetical protein
DLIDFOLG_02732	CDS	1635	mqo_2	1.1.5.4	COG0579	Malate:quinone oxidoreductase
DLIDFOLG_02733	CDS	492	eco		COG4574	Ecotin
DLIDFOLG_02734	CDS	1110			COG0628	Putative transport protein
DLIDFOLG_02735	CDS	846				hypothetical protein
DLIDFOLG_02736	CDS	1332				hypothetical protein
DLIDFOLG_02737	CDS	555				hypothetical protein
DLIDFOLG_02738	CDS	1314				hypothetical protein
DLIDFOLG_02739	CDS	207				hypothetical protein
DLIDFOLG_02740	CDS	480				hypothetical protein
DLIDFOLG_02741	CDS	2322	recF_2			DNA replication and repair protein RecF
DLIDFOLG_02742	CDS	687				hypothetical protein
DLIDFOLG_02743	CDS	1239				hypothetical protein
DLIDFOLG_02744	CDS	1257	intA_2		COG0582	Prophage integrase IntA
DLIDFOLG_02745	tRNA	77				tRNA-Pro(ggg)
DLIDFOLG_02746	CDS	1761	yejM		COG3083	Inner membrane protein YejM
DLIDFOLG_02747	CDS	264				hypothetical protein
DLIDFOLG_02748	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
DLIDFOLG_02749	CDS	762	glcR		COG1349	HTH-type transcriptional repressor GlcR
DLIDFOLG_02750	CDS	597	nudK_1	3.6.1.-		GDP-mannose pyrophosphatase NudK
DLIDFOLG_02751	CDS	1287				hypothetical protein
DLIDFOLG_02752	CDS	888				hypothetical protein
DLIDFOLG_02753	CDS	285	rplY		COG1825	50S ribosomal protein L25
DLIDFOLG_02754	CDS	1758	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
DLIDFOLG_02755	CDS	720	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
DLIDFOLG_02756	CDS	1197	bcr_1			Bicyclomycin resistance protein
DLIDFOLG_02757	CDS	345	yejG			putative protein YejG
DLIDFOLG_02758	CDS	1590	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
DLIDFOLG_02759	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
DLIDFOLG_02760	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
DLIDFOLG_02761	CDS	1806				hypothetical protein
DLIDFOLG_02762	CDS	1563	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
DLIDFOLG_02763	CDS	570	mepS_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
DLIDFOLG_02764	CDS	105				hypothetical protein
DLIDFOLG_02765	CDS	708	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
DLIDFOLG_02766	CDS	978	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
DLIDFOLG_02767	CDS	1467	por_2	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
DLIDFOLG_02768	CDS	1191	uxuA_2	4.2.1.8	COG1312	Mannonate dehydratase
DLIDFOLG_02769	CDS	573	yeiP		COG0231	Elongation factor P-like protein
DLIDFOLG_02770	CDS	255				hypothetical protein
DLIDFOLG_02771	CDS	1182	setB			Sugar efflux transporter B
DLIDFOLG_02772	CDS	1131	fruB_1		COG1925	Multiphosphoryl transfer protein
DLIDFOLG_02773	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
DLIDFOLG_02774	CDS	1695	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
DLIDFOLG_02775	CDS	855	nfo	3.1.21.2	COG0648	Endonuclease 4
DLIDFOLG_02776	CDS	1050				hypothetical protein
DLIDFOLG_02777	CDS	867	cmpR_2			HTH-type transcriptional activator CmpR
DLIDFOLG_02778	CDS	1470	lysP		COG0833	Lysine-specific permease
DLIDFOLG_02779	CDS	1905	cirA		COG4771	Colicin I receptor
DLIDFOLG_02780	CDS	834	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
DLIDFOLG_02781	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
DLIDFOLG_02782	CDS	1158				hypothetical protein
DLIDFOLG_02783	CDS	1023	galS		COG1609	HTH-type transcriptional regulator GalS
DLIDFOLG_02784	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
DLIDFOLG_02785	CDS	1521	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
DLIDFOLG_02786	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
DLIDFOLG_02787	CDS	717				hypothetical protein
DLIDFOLG_02788	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
DLIDFOLG_02789	CDS	696	yohK_2		COG1346	Inner membrane protein YohK
DLIDFOLG_02790	CDS	399				hypothetical protein
DLIDFOLG_02791	CDS	933	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
DLIDFOLG_02792	CDS	1365	oprB		COG3659	Porin B
DLIDFOLG_02793	CDS	834	bglG		COG3711	Cryptic beta-glucoside bgl operon antiterminator
DLIDFOLG_02794	CDS	1863	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
DLIDFOLG_02795	CDS	1395	bglB	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglB
DLIDFOLG_02796	CDS	735	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
DLIDFOLG_02797	CDS	1440	oprM_1		COG1538	Outer membrane protein OprM
DLIDFOLG_02798	CDS	570	yohD		COG0586	Inner membrane protein YohD
DLIDFOLG_02799	CDS	588	yohC			Inner membrane protein YohC
DLIDFOLG_02800	CDS	951	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
DLIDFOLG_02801	CDS	555	pat_2	2.3.1.183	COG1247	Phosphinothricin N-acetyltransferase
DLIDFOLG_02802	CDS	1746	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
DLIDFOLG_02803	CDS	2298		3.2.1.-		Beta-xylosidase
DLIDFOLG_02804	CDS	294				hypothetical protein
DLIDFOLG_02805	CDS	447				hypothetical protein
DLIDFOLG_02806	CDS	180				hypothetical protein
DLIDFOLG_02807	CDS	363				hypothetical protein
DLIDFOLG_02808	CDS	720	rstA		COG0745	Transcriptional regulatory protein RstA
DLIDFOLG_02809	CDS	336	ydgC		COG3136	Inner membrane protein YdgC
DLIDFOLG_02810	CDS	723	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
DLIDFOLG_02811	CDS	1383	ydgI		COG0531	Putative arginine/ornithine antiporter
DLIDFOLG_02812	CDS	951	ydgH			Protein YdgH
DLIDFOLG_02813	CDS	1530	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
DLIDFOLG_02814	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
DLIDFOLG_02815	CDS	222				hypothetical protein
DLIDFOLG_02816	CDS	951	uspE		COG0589	Universal stress protein E
DLIDFOLG_02817	CDS	753	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
DLIDFOLG_02818	CDS	516	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
DLIDFOLG_02819	CDS	159				hypothetical protein
DLIDFOLG_02820	CDS	1527	abgT		COG2978	p-aminobenzoyl-glutamate transport protein
DLIDFOLG_02821	CDS	984	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
DLIDFOLG_02822	CDS	747	hpxW	3.5.1.126	COG0405	Oxamate amidohydrolase proenzyme
DLIDFOLG_02823	CDS	186				hypothetical protein
DLIDFOLG_02824	CDS	1374	atzE	3.5.1.131		1-carboxybiuret hydrolase subunit AtzE
DLIDFOLG_02825	CDS	387				hypothetical protein
DLIDFOLG_02826	CDS	423	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
DLIDFOLG_02827	CDS	1119	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
DLIDFOLG_02828	CDS	558				hypothetical protein
DLIDFOLG_02829	CDS	1044	emrA_1			Colistin resistance protein EmrA
DLIDFOLG_02830	CDS	1563	emrB_1			Colistin resistance protein EmrB
DLIDFOLG_02831	CDS	1275	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
DLIDFOLG_02832	CDS	411				hypothetical protein
DLIDFOLG_02833	CDS	900				hypothetical protein
DLIDFOLG_02834	CDS	774	nimR_3			HTH-type transcriptional regulator NimR
DLIDFOLG_02835	CDS	726				hypothetical protein
DLIDFOLG_02836	CDS	663	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
DLIDFOLG_02837	CDS	225				hypothetical protein
DLIDFOLG_02838	CDS	768	nimR_4			HTH-type transcriptional regulator NimR
DLIDFOLG_02839	CDS	792				hypothetical protein
DLIDFOLG_02840	CDS	933				hypothetical protein
DLIDFOLG_02841	CDS	744	hyuA	5.1.99.5	COG4126	Hydantoin racemase
DLIDFOLG_02842	CDS	717				hypothetical protein
DLIDFOLG_02843	CDS	1497	pucI		COG1953	putative allantoin permease
DLIDFOLG_02844	CDS	1311	guaD_2	3.5.4.3	COG0402	Guanine deaminase
DLIDFOLG_02845	CDS	1140	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
DLIDFOLG_02846	CDS	1041				hypothetical protein
DLIDFOLG_02847	CDS	924	iolE_1	4.2.1.44	COG1082	Inosose dehydratase
DLIDFOLG_02848	CDS	1173	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
DLIDFOLG_02849	CDS	1107				hypothetical protein
DLIDFOLG_02850	CDS	696	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
DLIDFOLG_02851	CDS	729	ssuB_2	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
DLIDFOLG_02852	CDS	741	ribX_2			Riboflavin transport system permease protein RibX
DLIDFOLG_02853	CDS	936			COG0715	Putative thiamine biosynthesis protein
DLIDFOLG_02854	CDS	1383	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
DLIDFOLG_02855	CDS	1473	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
DLIDFOLG_02856	CDS	882	yofA_2		COG0583	HTH-type transcriptional regulator YofA
DLIDFOLG_02857	CDS	993	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
DLIDFOLG_02858	CDS	921	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
DLIDFOLG_02859	CDS	1242	entS		COG0477	Enterobactin exporter EntS
DLIDFOLG_02860	CDS	960	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
DLIDFOLG_02861	CDS	1176	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
DLIDFOLG_02862	CDS	1608	entE	6.3.2.14	COG1021	Enterobactin synthase component E
DLIDFOLG_02863	CDS	852	entB	6.3.2.14	COG1535	Enterobactin synthase component B
DLIDFOLG_02864	CDS	864	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
DLIDFOLG_02865	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
DLIDFOLG_02866	CDS	2106	cstA		COG1966	Peptide transporter CstA
DLIDFOLG_02867	CDS	198				hypothetical protein
DLIDFOLG_02868	CDS	243				hypothetical protein
DLIDFOLG_02869	CDS	126				hypothetical protein
DLIDFOLG_02870	CDS	303				hypothetical protein
DLIDFOLG_02871	CDS	744	bdcA_2		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
DLIDFOLG_02872	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
DLIDFOLG_02873	CDS	1503	mglA_3	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
DLIDFOLG_02874	CDS	999	rbsC_8		COG1172	Ribose import permease protein RbsC
DLIDFOLG_02875	CDS	1065				hypothetical protein
DLIDFOLG_02876	CDS	1242				hypothetical protein
DLIDFOLG_02877	CDS	1200	mtnK	2.7.1.100	COG4857	Methylthioribose kinase
DLIDFOLG_02878	CDS	1029	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
DLIDFOLG_02879	CDS	1269	agp_1	3.1.3.10		Glucose-1-phosphatase
DLIDFOLG_02880	CDS	1359	glpT_1		COG2271	Glycerol-3-phosphate transporter
DLIDFOLG_02881	CDS	810	suhB_2	3.1.3.25	COG0483	Inositol-1-monophosphatase
DLIDFOLG_02882	CDS	1041	rbsR_2		COG1609	Ribose operon repressor
DLIDFOLG_02883	CDS	1239	codA_1	3.5.4.1	COG0402	Cytosine deaminase
DLIDFOLG_02884	CDS	513				hypothetical protein
DLIDFOLG_02885	CDS	303	chbA_3		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
DLIDFOLG_02886	CDS	1323	licC_6		COG1455	Lichenan permease IIC component
DLIDFOLG_02887	CDS	315	celA_3	2.7.1.205		PTS system cellobiose-specific EIIB component
DLIDFOLG_02888	CDS	945	ascG_2		COG1609	HTH-type transcriptional regulator AscG
DLIDFOLG_02889	CDS	1440	pcaK_2		COG0477	4-hydroxybenzoate transporter PcaK
DLIDFOLG_02890	CDS	1263	galA	1.13.11.57		Gallate dioxygenase
DLIDFOLG_02891	CDS	1227	hdfR_3			HTH-type transcriptional regulator HdfR
DLIDFOLG_02892	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
DLIDFOLG_02893	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
DLIDFOLG_02894	CDS	1086	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
DLIDFOLG_02895	CDS	864				hypothetical protein
DLIDFOLG_02896	CDS	291				hypothetical protein
DLIDFOLG_02897	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
DLIDFOLG_02898	CDS	1101	murP_1		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
DLIDFOLG_02899	CDS	321	murP_2		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
DLIDFOLG_02900	CDS	903	murQ_2	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
DLIDFOLG_02901	CDS	1164	bcr_2			Bicyclomycin resistance protein
DLIDFOLG_02902	CDS	1365	oprM_2		COG1538	Outer membrane protein OprM
DLIDFOLG_02903	CDS	2088	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
DLIDFOLG_02904	CDS	600				hypothetical protein
DLIDFOLG_02905	CDS	948	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
DLIDFOLG_02906	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
DLIDFOLG_02907	CDS	612	lolB		COG3017	Outer-membrane lipoprotein LolB
DLIDFOLG_02908	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
DLIDFOLG_02909	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
DLIDFOLG_02910	CDS	738	yehW		COG1174	Glycine betaine uptake system permease protein YehW
DLIDFOLG_02911	CDS	114				hypothetical protein
DLIDFOLG_02912	CDS	1725	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
DLIDFOLG_02913	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
DLIDFOLG_02914	CDS	471				hypothetical protein
DLIDFOLG_02915	CDS	2043	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
DLIDFOLG_02916	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
DLIDFOLG_02917	CDS	465	yafP_1	2.3.1.-	COG0454	putative N-acetyltransferase YafP
DLIDFOLG_02918	CDS	318	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
DLIDFOLG_02919	CDS	900	dmlR_9			HTH-type transcriptional regulator DmlR
DLIDFOLG_02920	CDS	942	adeQ		COG2252	Adenine permease AdeQ
DLIDFOLG_02921	CDS	378				hypothetical protein
DLIDFOLG_02922	CDS	1665	pduC	4.2.1.28	COG4909	Propanediol dehydratase large subunit
DLIDFOLG_02923	CDS	813	pduB		COG4816	Propanediol utilization protein PduB
DLIDFOLG_02924	CDS	285	pduA_2		COG4577	Propanediol utilization protein PduA
DLIDFOLG_02925	CDS	810	pduF		COG0580	Propanediol diffusion facilitator
DLIDFOLG_02926	CDS	912	rhaS_8			HTH-type transcriptional activator RhaS
DLIDFOLG_02927	CDS	864	cbiA_1	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
DLIDFOLG_02928	CDS	498	cbiA_2	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
DLIDFOLG_02929	CDS	960	cobD_2		COG1270	Cobalamin biosynthesis protein CobD
DLIDFOLG_02930	CDS	930	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
DLIDFOLG_02931	CDS	774	srlR_1		COG1349	Glucitol operon repressor
DLIDFOLG_02932	CDS	360				hypothetical protein
DLIDFOLG_02933	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
DLIDFOLG_02934	CDS	363	srlB_1		COG3731	PTS system glucitol/sorbitol-specific EIIA component
DLIDFOLG_02935	CDS	981	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
DLIDFOLG_02936	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
DLIDFOLG_02937	CDS	1398	modF		COG1119	ABC transporter ATP-binding protein ModF
DLIDFOLG_02938	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
DLIDFOLG_02939	CDS	1047	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
DLIDFOLG_02940	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
DLIDFOLG_02941	CDS	1044	galM	5.1.3.3	COG2017	Aldose 1-epimerase
DLIDFOLG_02942	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
DLIDFOLG_02943	CDS	1083	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
DLIDFOLG_02944	CDS	366				hypothetical protein
DLIDFOLG_02945	CDS	945	zitB		COG1230	Zinc transporter ZitB
DLIDFOLG_02946	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
DLIDFOLG_02947	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase A
DLIDFOLG_02948	tRNA	76				tRNA-Lys(ttt)
DLIDFOLG_02949	tRNA	76				tRNA-Lys(ttt)
DLIDFOLG_02950	tRNA	76				tRNA-Val(tac)
DLIDFOLG_02951	tRNA	76				tRNA-Lys(ttt)
DLIDFOLG_02952	tRNA	76				tRNA-Val(tac)
DLIDFOLG_02953	tRNA	76				tRNA-Lys(ttt)
DLIDFOLG_02954	CDS	795	cpoB		COG1729	Cell division coordinator CpoB
DLIDFOLG_02955	CDS	525	pal_1		COG2885	Peptidoglycan-associated lipoprotein
DLIDFOLG_02956	CDS	1293	tolB		COG0823	Tol-Pal system protein TolB
DLIDFOLG_02957	CDS	297				hypothetical protein
DLIDFOLG_02958	CDS	375				hypothetical protein
DLIDFOLG_02959	CDS	522				hypothetical protein
DLIDFOLG_02960	CDS	1038	abaF_2			Fosfomycin resistance protein AbaF
DLIDFOLG_02961	CDS	381				hypothetical protein
DLIDFOLG_02962	CDS	1788				hypothetical protein
DLIDFOLG_02963	CDS	333	yeaR_2		COG3615	putative protein YeaR
DLIDFOLG_02964	CDS	336				hypothetical protein
DLIDFOLG_02965	CDS	915	gcvA_1			Glycine cleavage system transcriptional activator
DLIDFOLG_02966	CDS	576				hypothetical protein
DLIDFOLG_02967	CDS	837	cpo	1.11.1.10		Non-heme chloroperoxidase
DLIDFOLG_02968	CDS	972				hypothetical protein
DLIDFOLG_02969	CDS	1104				hypothetical protein
DLIDFOLG_02970	tRNA	76				tRNA-Asn(gtt)
DLIDFOLG_02971	CDS	1437	yeeO		COG0534	putative FMN/FAD exporter YeeO
DLIDFOLG_02972	tRNA	76				tRNA-Asn(gtt)
DLIDFOLG_02973	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
DLIDFOLG_02974	CDS	246	pmrD			Signal transduction protein PmrD
DLIDFOLG_02975	CDS	1623	menH_3	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
DLIDFOLG_02976	CDS	933				hypothetical protein
DLIDFOLG_02977	CDS	978	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
DLIDFOLG_02978	CDS	555				hypothetical protein
DLIDFOLG_02979	CDS	1635				hypothetical protein
